"","N1","N2","Value"
"1","Q0_1","Q5_1",74
"2","Q0_1","Q5_2",34
"3","Q0_1","Q5_3",272
"4","Q5_1","Q6_5",74
"5","Q5_2","Q6_5",34
"6","Q5_3","Q6_1",147
"7","Q5_3","Q6_2",45
"8","Q5_3","Q6_3",69
"9","Q5_3","Q6_4",11
"10","Q6_1","Q7_0",7
"11","Q6_1","Q7_1",84
"12","Q6_1","Q7_2",27
"13","Q6_1","Q7_3",29
"14","Q6_2","Q7_0",45
"15","Q6_3","Q7_0",69
"16","Q6_4","Q7_0",11
"17","Q6_5","Q7_0",108
"18","Q7_0","Q9_1",1
"19","Q7_0","Q9_2",1
"20","Q7_0","Q9_4",238
"21","Q7_1","Q9_4",84
"22","Q7_2","Q9_4",27
"23","Q7_3","Q9_1",17
"24","Q7_3","Q9_2",8
"25","Q7_3","Q9_3",2
"26","Q7_3","Q9_4",2
